name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
shiriti jewellers ,shiriti jewellers ,7679778349,na,thakurnagar, jewellery shop ,website ,follow-up,customer need visit her office 20 april (md golam),Follow-Up,20-04-2025
Maheshpur school ,Maheshpur school ,7407414296,na,maheshpur ,school ,school mangment/website/android app,hot-call,"advance booking done advance payment 500,(md golam) ",Pending,15-04-2025
taj agro nursery ,taj agro nursery ,8001444440,na,kholapota ,nursery,e-commerce website ,follow-up,customer need visit her office 8 april (md golam),Follow-Up,08-04-2025
rajasthan marbel ,rajasthan marbel ,9775140855,na,"matia,basirhat",marbel shop, static website/logo,follow-up,customer need visit her office 8 april (md golam),Follow-Up,08-04-2025
DS medical,DS medical,7001476042,na,berachampa ,pharmacy,billing softwaer/website ,hot-call,customer need visit her office 7 april (md golam),Follow-Up,07-04-2025
berachampa united nursing home ,berachampa united nursing home ,9732669454,na,"berachampa,near hazi petrol pump",Nursing home ,website/doctor booking app,follow-up,customer need visit her office 7 april (md golam),Follow-Up,07-04-2025
mitra jyoti I clinic ,mitra jyoti I clinic ,8250281996,na,"berachampa,hadipur ",pharmacy,website/doctor booking app,follow-up,customer need visit her office 7 april (md golam),Follow-Up,07-04-2025
ghosh mobile ,ghosh mobile ,9735263061,na,thakurnagar,mobile stoer ,website ,follow-up,customer need visit her office 20 april (md golam),Follow-Up,20-04-2025
shib poribahan,shib poribahan,7063441734,na,basirhat,transport,customize softwaer/tracking softwaer ,follow-up,customer need visit her office 25 april (md golam),Follow-Up,25-04-2025
bengal model school,bengal model school,9733527373,na,"berachampa,",school ,school mangment,follow-up,customer need visit her office 9 april (md golam),Follow-Up,09-04-2025
mordern seva pharmacy ,mordern seva pharmacy ,8918766042,na,habra ,pharmacy,website ,follow-up,customer need visit her office 10 april (md golam),Follow-Up,10-04-2025
icha dana bank quit,icha dana bank quit,9382562691,na,gobardanga ,resturet bank quit,website ,follow-up,customer need visit her office 10 april (md golam),Follow-Up,10-04-2025
