name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
SHIS SHISHU BIKASH ACADEMY,SHIS SHISHU BIKASH ACADEMY,7797836316,Na,West Bengal ,school ,school management software ,warm call,customer call back 10th april (banita),In Progress,10-04-2025
M.S public school ,M.S public school ,9507564244,Na,Bihar,school ,school management software ,warm call,call back 11th april(banita),Follow-Up,11-04-2025
Radiant Public school ,Radiant Public school ,9031148505,Na,Bihar,school ,school management software/website/android application ,warm call,call back 10th April (banita),Follow-Up,10-04-2025
Divine Mercy School,Divine Mercy School,09830081048,Na,"1, Amta Rd",· ICSE School,School management software,Warm call,Send school management software demo and call back later,In Progress,10-04-2025
St. Ann's Day School Bankra,St. Ann's Day School Bankra,09477177120,Na,Kabar Para Rd,· ICSE School,School management software,Warm call,Send details and call back 5 pm//call  back  11 april  ,Follow-Up,11-04-2025
Gandhi Memorial English Boarding School,Gandhi Memorial English Boarding School,098016 84417,Na,"Sri Krishna Nagar ,Ramgarhwa Main Road, near Ramgarhwa Police Station",school,School Management software,Warm call,"Customer need demo link, need demo link on 10th april",Follow-Up,10-04-2025
"ST. PAUL'S SCHOOL MEHSI, BIHAR","ST. PAUL'S SCHOOL MEHSI, BIHAR",098016 84417,Na,Na,school,School Management software,Warm call,Customer said to call back after 7pm.// call  back 11 april  ,Follow-Up,11-04-2025
Jayant Academy,Jayant Academy,06255 220 297,rxl.ovi@gmail.com ,"Raxaul, Bihar",school,School Management software,Warm call,demo link share. Said to follow up 12th april,Follow-Up,12-04-2025
Surendranath Girl's High School,Surendranath Girl's High School,03326586047,bsngh.school@gmail.com,"H7JQ+C7H SurendraNath ghosh, Baksara Rd",· Girls' high school,School Management software,Warm call,. Said to call back after 15th april.,Follow-Up,15-04-2025
Go Education ,Go Education ,9051969397,Na,sauth jitpur,primary school ,School Management software,Warm call,whatsapp details share (sujoy ),Follow-Up,10-04-2025
ilma english medium school ,ilma english medium school ,9231510342,Na,"khodar bazar,kolkata",school ,School Management software,Warm call,whatsapp details share (sujoy ),Follow-Up,10-04-2025
Sri Chaitanya Techno School-Howrah,Sri Chaitanya Techno School-Howrah,09903850033,Na,J983+8F3,· CBSE School,School management software,Warm call,09903760044 send school management software demo and call back later,Follow-Up,10-04-2025
Avijit Hardware,Avijit Hardware,· 087778 72936,Na,"PFHM+6G4, Kalibari Road, Noapara, Road",· Hardware store,Inventory billing software,Warm call,10 april visit,In Progress,10-04-2025
